ticket_id,customer_id,issue_type,severity,resolution_time_hrs,created_at
TKT17131013,15809616,fee_dispute,medium,2.54,2024-06-01
TKT79975810,15721024,fee_dispute,high,15.59,2025-08-02
TKT35088116,15600462,transfer_delay,medium,19.4,2025-04-02
TKT11948758,15672145,card_decline,critical,14.88,05/02/2024
TKT75260287,15745196,login_issue,low,16.35,01/01/2025
TKT29044801,15757811,transfer_delay,low,17.39,2024-11-01
TKT94917937,15633648,card_decline,  high  ,3.71,2024/11/01
TKT22904583,15644753,app_bug,medium,12.59,02-07-2024
TKT70193226,15608968,app_bug,low,23.62,31-01-2025
TKT43259196,15692926,fee_dispute,low,0.0,2025/08/02
TKT84973093,15775318,login_issue,high,19.29,10/01/2024
TKT55509029,15702919,app_bug,high,16.96,01 Sep 2024
TKT45314466,15679587,login_issue,low,16.79,01/01/2025
TKT23188507,15623595,login_issue,medium,2.97,01 Jan 2025
TKT18582928,15739438,transfer_delay,low,7.74,01-12-2024
TKT59503370,15774696,login_issue,high,3.25,02-04-2025
TKT19370455,15794580,app_bug,low,,02-08-2025
TKT63442557,15668886,fraud_alert,low,41.1,01/31/2025
TKT40203806,15698474,transfer_delay,low,1.83,2025-01-31
TKT47120440,15784844,CARD_DECLINE,low,45.79,01-11-2024
TKT23707157,15580684,card_decline,medium,30.22,09/01/2024
TKT26143335,15773972,card_decline,low,6.55,2024-09-01
TKT26811063,15603925,fee_dispute,medium,19.26,2025-01-31
TKT52942345,15641122,card_decline,high,11.58,02-04-2025
TKT80561439,15795564,card_decline,high,15.88,02 Mar 2025
TKT62233616,15619955,app_bug,medium,,2024/10/01
TKT57023077,15730076,transfer_delay,medium,10.1,02-04-2025
TKT79308327,19117782,transfer_delay,  high  ,7.91,2024-06-01
TKT84073353,15603065,fee_dispute,medium,11.75,02 Jun 2025
TKT40427701,15593365,login_issue,medium,9999.99,01 Sep 2025
TKT37267844,15600258,fee_dispute,low,11.91,2025-08-02
TKT88244069,15625426,login_issue,low,12.56,01-08-2024
TKT69239273,15762218,card_decline,medium,10.67,02-06-2025
TKT85590565,15742358,card_decline,medium,7.53,2024/12/01
TKT17629726,15750181,fee_dispute,high,32.85,02-03-2025
TKT32581866,15767954,fraud_alert,low,11.87,2024-11-01
TKT66152502,15736879,transfer_delay,low,6.87,01 Aug 2024
TKT37329156,15729362,fee_dispute,medium,10.26,31 Jan 2025
TKT75181092,15660429,login_issue,low,6.15,06/02/2025
TKT53347475,15628303,login_issue,medium,9.01,01-12-2024
TKT14946434,15664521,app_bug,low,11.14,2024/07/02
TKT95925033,15807008,app_bug,low,50.58,2024/07/02
TKT94705623,15625759,app_bug,high,24.12,2025/05/02
TKT78243019,15735203,card_decline,low,56.93,2024/07/02
TKT16795130,15594917,card_decline,low,5.47,01 Nov 2024
TKT11687552,15625426,transfer_delay,  high  ,22.35,01/01/2025
TKT91757090,15622911,fee_dispute,medium,17.64,2025/06/02
TKT16918681,15716164,fee_dispute,critical,2.11,2025-09-01
TKT46699365,15611759,card_decline,low,23.71,2025-08-02
