offer_id,customer_id,offer_type,accepted,date_offered
OFR92388201,15568748,card_upgrade,N,01 Nov 2023
OFR51730813,15662736,loan_rate_cut,false,2024/06/01
OFR39024310,15680772,cashback,1,02-07-2025
OFR81930062,15576623,SAVINGS_BONUS,Y,08/01/2024
OFR95415951,15767954,savings_bonus,1,2024-08-01
OFR42191436,15812007,card_upgrade,no,11/01/2024
OFR56531753,15656176,cashback,Y,2024/05/02
OFR23593226,15725679,card_upgrade,1,06/01/2024
OFR85098046,15686870,loan_rate_cut,Y,2024-10-01
OFR78618852,15654238,card_upgrade,false,2023/11/01
OFR39787034,15607040,,N,01-11-2024
OFR79508052,15599433,cashback,0,2025-05-02
OFR31741377,15799384,  savings_bonus  ,Yes,02 Dec 2023
OFR48052774,15739438,loan_rate_cut,Y,2024/09/01
OFR48000995,15585036,fee_waiver,1,2025/07/02
OFR28212702,15700772,card_upgrade,0,02-03-2025
OFR90036227,15709324,savings_bonus,N,2024-09-01
OFR58950870,15645772,loan_rate_cut,no,02-04-2024
OFR56683155,15710404,  savings_bonus  ,No,09/01/2024
OFR57487271,15689614,cashback,true,2025/09/01
OFR26718951,15755262,LOAN_RATE_CUT,N,10/01/2024
OFR81919408,15742358,savings_bonus,Y,01/01/2025
OFR36425146,15571002,card_upgrade,No,01 Nov 2024
OFR42777281,15625759,loan_rate_cut,N,2025/03/02
OFR29847887,15711889,FEE_WAIVER,false,04/02/2024
OFR13324121,15686137,fee_waiver,true,2024-04-02
OFR67649593,15649423,fee_waiver,1,01 Jan 2025
OFR48337386,15773890,card_upgrade,N,2025-03-02
OFR70841705,15672692,loan_rate_cut,0,02-03-2025
OFR99139795,15737795,loan_rate_cut,1,01 Nov 2023
OFR51651942,15779052,card_upgrade,0,2025/01/01
OFR32804501,15641732,card_upgrade,No,01 Aug 2024
OFR99179547,15670755,cashback,Y,2025-07-02
OFR63484541,15702919,savings_bonus,N,2024-01-01
OFR54244414,15591711,card_upgrade,N,01 Oct 2025
OFR21899503,15569590,loan_rate_cut,0,02-03-2025
OFR16634086,15585036,cashback,1,02 Apr 2024
OFR92321680,15614782,loan_rate_cut,0,2025/01/31
OFR98507535,15679200,cashback,no,12/01/2024
OFR69100862,15732778,fee_waiver,Yes,2024/04/02
OFR27925162,15607098,savings_bonus,Y,2025-08-02
OFR26226201,15727556,fee_waiver,no,2025/05/02
OFR55750974,15782390,fee_waiver,1,02-05-2024
OFR25490599,15605926,card_upgrade,N,2025-10-01
OFR13472226,15686983,loan_rate_cut,Yes,2025/08/02
OFR18013780,15758449,cashback,yes,01/01/2025
OFR55018867,15597602,cashback,1,04/02/2024
OFR33698555,15775318,SAVINGS_BONUS,0,01-12-2024
OFR69324108,15654506,card_upgrade,1,2025-03-02
OFR33420702,15682048,,No,02-06-2025
OFR33270145,15746902,cashback,false,2024/07/02
OFR74793534,15768104,loan_rate_cut,no,01 Nov 2023
OFR57828534,15719856,card_upgrade,0,01 Aug 2024
OFR77236785,15786308,fee_waiver,No,02 May 2024
OFR88901031,15748936,cashback,true,2024/10/01
OFR75748719,15724282,,true,10/01/2025
OFR80034743,15708608,cashback,yes,08/02/2025
OFR96258625,15627360,cashback,1,2023/11/01
OFR26602442,15809100,card_upgrade,false,08/02/2025
OFR45105632,15592979,loan_rate_cut,No,2023-11-01
OFR27682674,15787470,LOAN_RATE_CUT,1,01 Feb 2024
OFR59737421,15605461,savings_bonus,No,01-01-2024
OFR15001112,15690673,cashback,0,02-04-2025
OFR47679047,15668893,fee_waiver,true,02 Apr 2024
OFR40714715,15586959,loan_rate_cut,1,2025/06/02
OFR56987618,15694408,  savings_bonus  ,0,02 Mar 2025
OFR65882955,15669987,card_upgrade,0,01/01/2025
OFR50457901,15692761,cashback,N,02 Jul 2024
OFR78671735,15668444,card_upgrade,Yes,2023-11-01
OFR50434994,15613172,  fee_waiver  ,false,2024-11-01
OFR81113979,15587562,fee_waiver,,2024-02-01
OFR60358391,15803406,fee_waiver,false,02-04-2024
OFR68129066,15613630,card_upgrade,false,02 Dec 2023
OFR26134147,15766205,fee_waiver,Y,08/01/2024
OFR92691430,15621075,loan_rate_cut,0,01 Dec 2024
OFR39216006,15809722,cashback,no,02 May 2025
OFR41410379,15777211,card_upgrade,No,2024-06-01
OFR35252975,15634245,cashback,false,2025/03/02
OFR26517990,15602312,fee_waiver,N,01 Nov 2023
OFR44121255,15780804,card_upgrade,,2024-07-02
OFR62107976,15594898,savings_bonus,no,10/01/2025
OFR96344133,15626742,CARD_UPGRADE,0,2024/04/02
OFR70074092,15812009,  cashback  ,0,2024-07-02
OFR13278717,15592300,cashback,false,01-09-2024
OFR36815552,15637876,cashback,No,01-02-2024
OFR19129154,15582741,savings_bonus,no,02 Mar 2025
OFR22313914,15655007,cashback,yes,01 Sep 2024
OFR56889676,15573152,cashback,0,01-12-2024
OFR97407424,15677307,fee_waiver,no,01 Sep 2025
OFR23363647,15810845,fee_waiver,1,02-08-2025
OFR58978967,15794549,savings_bonus,true,12/01/2024
OFR22485546,15807609,fee_waiver,Yes,03/02/2025
OFR47894941,15724296,cashback,N,2025/08/02
OFR88972927,15805062,savings_bonus,0,11/01/2023
OFR35940541,15612350,savings_bonus,true,2024/05/02
OFR96472374,15734674,loan_rate_cut,0,2024-05-02
OFR67554498,15784209,  cashback  ,yes,2024/05/02
OFR81418655,15649992,loan_rate_cut,no,01/01/2025
OFR94601710,15659366,CASHBACK,Y,01 Jan 2024
OFR81597662,15732674,fee_waiver,0,31 Jan 2025
OFR25930126,15690134,fee_waiver,0,2024-07-02
OFR68650251,15626114,savings_bonus,no,01-02-2024
OFR26659865,15773890,fee_waiver,yes,2023/12/02
OFR20729577,15715951,savings_bonus,No,02 Jul 2025
OFR36086564,15653849,loan_rate_cut,1,02 Mar 2025
OFR35167269,15683625,loan_rate_cut,false,01 Oct 2025
OFR80466410,15811127,savings_bonus,false,2024-09-01
OFR96308206,15803764,card_upgrade,N,2024-07-02
OFR67200708,15587562,fee_waiver,N,2024/01/01
OFR43545367,15800228,fee_waiver,N,2025-04-02
OFR70780121,15582797,cashback,1,09/01/2025
OFR89925281,15578045,SAVINGS_BONUS,N,02 Mar 2024
OFR57869747,15699029,card_upgrade,Yes,02 Jun 2025
OFR95760944,15738148,card_upgrade,0,2025/04/02
OFR63764429,15807432,loan_rate_cut,Yes,08/02/2025
OFR98268171,15592937,savings_bonus,0,02-05-2024
OFR98024116,15744398,fee_waiver,false,01-11-2024
OFR41706016,15733616,fee_waiver,no,01 Jan 2024
OFR78502572,15619304,card_upgrade,No,2024-04-02
OFR45234277,15811490,card_upgrade,N,02-03-2025
OFR61441280,15607312,CASHBACK,0,01 Sep 2025
OFR32138291,15745307,cashback,Yes,01 Nov 2024
OFR32984376,15637476,loan_rate_cut,false,2024-03-02
OFR70898713,15699389,savings_bonus,N,2025-09-01
OFR31747501,15716334,  cashback  ,0,2024-09-01
OFR76430947,15641675,,No,2025/10/01
OFR49907277,15701354,loan_rate_cut,No,02 May 2025
OFR44317678,15712403,cashback,yes,2024-01-01
OFR17155500,15603436,card_upgrade,0,2024-04-02
OFR50368157,15593773,fee_waiver,false,01 Jan 2025
OFR50254811,15604119,fee_waiver,0,01-01-2025
OFR16346832,15682541,fee_waiver,N,2025-03-02
OFR45357205,15606149,loan_rate_cut,no,07/02/2024
OFR27978608,15758639,cashback,false,01 Sep 2024
OFR42895296,15592222,fee_waiver,N,07/02/2025
OFR60631363,15668886,loan_rate_cut,false,12/01/2024
OFR60795340,15797960,card_upgrade,false,01-11-2023
OFR12893445,15718673,savings_bonus,1,2025/01/01
OFR76532522,15574692,cashback,0,01-09-2025
OFR84032477,15703264,fee_waiver,0,01 Oct 2025
OFR47638494,15591995,  fee_waiver  ,0,01/31/2025
OFR24860865,15770811,loan_rate_cut,0,31 Jan 2025
OFR69348036,15717426,card_upgrade,1,05/02/2024
OFR98707815,15801488,fee_waiver,no,02-03-2025
OFR94466030,15776433,cashback,0,05/02/2024
OFR95096789,15636673,savings_bonus,1,01-01-2025
OFR41653214,15790314,cashback,yes,2024/06/01
OFR18915562,15719856,cashback,1,02 Jul 2024
OFR33808582,15723488,cashback,0,02/01/2024
OFR92679814,15629448,card_upgrade,Y,2025/05/02
OFR20965096,15714485,card_upgrade,true,04/02/2024
OFR10448646,15722548,FEE_WAIVER,0,2025/06/02
OFR39010489,15681554,loan_rate_cut,0,10/01/2025
OFR28241000,15643696,loan_rate_cut,N,2024-06-01
OFR41485633,15775318,loan_rate_cut,0,01 Dec 2024
OFR57379201,15583456,card_upgrade,no,02 Jul 2025
OFR31840663,15769974,loan_rate_cut,0,2025-01-31
OFR21355424,15732628,cashback,,2024/08/01
OFR56017535,15566091,cashback,yes,2024-11-01
OFR26928294,15677305,cashback,1,01-11-2023
OFR77911581,15677371,savings_bonus,No,08/02/2025
OFR84376948,15788659,card_upgrade,false,06/01/2024
OFR74270899,15660271,loan_rate_cut,no,2025/09/01
OFR89118407,15707473,cashback,N,2025/05/02
OFR39790165,15761986,cashback,N,06/02/2025
OFR29762163,15662976,card_upgrade,Y,01-11-2024
OFR74292942,15613772,card_upgrade,N,2024-10-01
OFR49419063,15605461,fee_waiver,0,02-07-2024
OFR83116042,15754084,loan_rate_cut,N,03/02/2025
OFR70082403,15588350,LOAN_RATE_CUT,N,04/02/2025
OFR91405570,15797964,savings_bonus,Yes,06/02/2025
